Ciudad,Departamento,Pais
ALTAMIRA,Antioquia,Colombia
BOLOMBOLO,Antioquia,Colombia
CURRULAO,Antioquia,Colombia
DORADAL,Antioquia,Colombia
EL REPOSO ZONA URABA,Antioquia,Colombia
EL TOTUMO ZONA URABA,Antioquia,Colombia
EL TRES ZONA URABA,Antioquia,Colombia
LA CRUZADA,Antioquia,Colombia
LA SIERRA,Antioquia,Colombia
LA TABLAZA,Antioquia,Colombia
NUEVA COLONIA ZONA URABA,Antioquia,Colombia
PALERMO,Antioquia,Colombia
PALMITAS,Antioquia,Colombia
PUERTO BOYACÁ,Antioquia,Colombia
PUERTO VALDIVIA,Antioquia,Colombia
SAN ANTONIO DE PEREIRA,Antioquia,Colombia
SAN ANTONIO DE PRADO,Antioquia,Colombia
SAN CRISTOBAL,Antioquia,Colombia
SAN JOSÉ DEL NUS,Antioquia,Colombia
SANTA ELENA,Antioquia,Colombia
SANTA ISABEL,Antioquia,Colombia
SEVILLA,Antioquia,Colombia
VERSALLES,Antioquia,Colombia
CAÑO LIMÓN,Arauca,Colombia
LA ESMERALDA,Arauca,Colombia
LA PESQUERA,Arauca,Colombia
POZO CARICARE,Arauca,Colombia
AGUADA DE PABLO,Atlántico,Colombia
ARROYO DE PIEDRA,Atlántico,Colombia
CAMPECHE,Atlántico,Colombia
CARACOLÍ,Atlántico,Colombia
CASCAJAL,Atlántico,Colombia
GALLEGO,Atlántico,Colombia
ISABEL LOPEZ,Atlántico,Colombia
JUAN MINA,Atlántico,Colombia
LA PEÑA,Atlántico,Colombia
LOS PENDALES,Atlántico,Colombia
PINAR DEL RIO,Atlántico,Colombia
PITAL DE MEGUA,Atlántico,Colombia
PUERTO GIRALDO,Atlántico,Colombia
SALGAR,Atlántico,Colombia
SANTA VERÓNICA,Atlántico,Colombia
SIBARCO,Atlántico,Colombia
ARARCA,Bolívar,Colombia
ARROYO DE PIEDRA,Bolívar,Colombia
BARÚ POBLACIÓN,Bolívar,Colombia
BAYUNCA,Bolívar,Colombia
CARRETO,Bolívar,Colombia
EL VISO,Bolívar,Colombia
GALERAZAMBA,Bolívar,Colombia
GAMBOTE,Bolívar,Colombia
HOTEL DECAMERON BARU,Bolívar,Colombia
LA BOQUILLA,Bolívar,Colombia
LOMITA ARENA,Bolívar,Colombia
MALAGANA,Bolívar,Colombia
MAMONAL,Bolívar,Colombia
MANZANILLO DEL MAR,Bolívar,Colombia
PASACABALLOS,Bolívar,Colombia
PLANTA CAMPOLLO GAMBOTE,Bolívar,Colombia
PONTEZUELA,Bolívar,Colombia
PUERTO BAHIA BARU,Bolívar,Colombia
PUERTO RICO,Bolívar,Colombia
PUNTA CANOA,Bolívar,Colombia
RETIRO NUEVO,Bolívar,Colombia
SAN BASILIO DEL PALENQUE,Bolívar,Colombia
SAN CAYETANO,Bolívar,Colombia
SAN MARTÍN,Bolívar,Colombia
SANTA ANA,Bolívar,Colombia
SINCERÍN,Bolívar,Colombia
YATI,Bolívar,Colombia
BELENCITO,Boyacá,Colombia
BONZA,Boyacá,Colombia
EL MANZANO,Boyacá,Colombia
MORCA,Boyacá,Colombia
NAZARETH,Boyacá,Colombia
PUENTE BOYACÁ,Boyacá,Colombia
SAN PEDRO DE IGÜAQUE,Boyacá,Colombia
TIERRANEGRA,Boyacá,Colombia
TUNUNGÚA,Boyacá,Colombia
PAISPAMBA,CAUCA,Colombia
SAN SEBASTIAN,CAUCA,Colombia
ARAUCA,Caldas,Colombia
ARMA,Caldas,Colombia
BOLIVIA,Caldas,Colombia
FLORENCIA,Caldas,Colombia
GUARINOCITO,Caldas,Colombia
KILÓMETRO 41,Caldas,Colombia
LA FELISA,Caldas,Colombia
PALMA REAL,Caldas,Colombia
SAMARIA,Caldas,Colombia
SAN FELIX,Caldas,Colombia
SANTAGUEDA,Caldas,Colombia
EL PAUJIL,Caqueta,Colombia
EL TRIUNFO,Caqueta,Colombia
AGUACLARA,Casanare,Colombia
ARAGUANEY,Casanare,Colombia
CUPIAGUA,Casanare,Colombia
CUSIANA,Casanare,Colombia
EL CHARTE,Casanare,Colombia
EL MOLINO,Casanare,Colombia
LA CHAPARRERA,Casanare,Colombia
MORICHAL,Casanare,Colombia
YOPALOSA,Casanare,Colombia
Belalcázar,Cauca,Colombia
CALIBIO,Cauca,Colombia
COCONUCO,Cauca,Colombia
EL BORDO,Cauca,Colombia
EL ESTRECHO,Cauca,Colombia
EL HORMIGUERO,Cauca,Colombia
MANDIVA,Cauca,Colombia
MONDOMO,Cauca,Colombia
ORTIGAL,Cauca,Colombia
PEDREGAL,Cauca,Colombia
PESCADOR,Cauca,Colombia
PIEDRA SENTADA,Cauca,Colombia
PLATEADO,Cauca,Colombia
RIO BLANCO,Cauca,Colombia
TIMBA,Cauca,Colombia
TUNÍA,Cauca,Colombia
ARJONA,Cesar,Colombia
AYACUCHO,Cesar,Colombia
CARACOLICITO,Cesar,Colombia
CASACARA,Cesar,Colombia
CUATRO VIENTOS,Cesar,Colombia
EL CRUCE,Cesar,Colombia
LA AURORA,Cesar,Colombia
LA LOMA,Cesar,Colombia
LA SIERRITA,Cesar,Colombia
LOS CERRAJONES,Cesar,Colombia
LOS ROBLES,Cesar,Colombia
MINA EL HATILLO,Cesar,Colombia
MINA LA FRANCIA,Cesar,Colombia
PALMAS MONTE CARMELO,Cesar,Colombia
PALMERA CICARARE,Cesar,Colombia
POPONTE,Cesar,Colombia
RINCÓN HONDO,Cesar,Colombia
SAN JOSE DEL ORIENTE,Cesar,Colombia
SAN ROQUE,Cesar,Colombia
VALENCIA DE JESUS,Cesar,Colombia
ANDAGOYA,Choco,Colombia
LAS ÁNIMAS,Choco,Colombia
NOVITA,Choco,Colombia
LA Y,Chocó,Colombia
TUTUNENDO,Chocó,Colombia
UNIÓN PANAMERICANA,Chocó,Colombia
YUTO,Chocó,Colombia
BRICEÑO,Cundinamarca,Colombia
CAPELLANÍA,Cundinamarca,Colombia
CHINAUTA,Cundinamarca,Colombia
CHUSACÁ,Cundinamarca,Colombia
EL GUAVIO,Cundinamarca,Colombia
EL MUÑA,Cundinamarca,Colombia
EL SISGA,Cundinamarca,Colombia
EL TRIUNFO,Cundinamarca,Colombia
